|3600|||Hawle Szerelvénygyártó|és Forgalmazó Kft.|Pf. 82||HU|2001|Szentendre|C|265015010|26501502|HU10260559
|3900|||NOVA SIRIA SRL||Via Marconi 4-6||IT|10060|Roletto (TO)|C|3454904005||IT03716570019
|4100|||Hawle S.R.O.||Pezinska 30||SK|90301|Senec|C|245922187|245922188|SK2020256964
|4200|||Hawle Armatury spol. s r.o.||Rícanská 375||CZ|25242|Jesenice u Prahy|C|241003111|241003333|CZ44794258
|4320|||E. Hawle Amaturenwerke GmbH||Wagrainer Strasse 13|Hawle Straße 1|AT|4840|Vöcklabruck, Frankenmarkt|C|7672/72576-0|7672/72576-9234|ATU67218879
|4350|||EGM INDUSTRIEGUSS GMBH||Gußwerkstraße 7||AT|2514|Möllersdorf|C|0664/5348539||ATU49377605
|7000|||OOO "Hawle Industriewerke"||Ulitsa Industrialnaja 1B||RU|399900|Tschaplygin|C|960 142-14-8||
|9700|||Hawle Mid East FZE||P.O. Box 122483|Saif Zone|AE||Sharjah|C|65579515|65579516|
|100677|||Hawle Armaturen GmbH||Liegnitzer Straße 6||DE|83395|Freilassing|C|865463030 INFOH|86546303111|DE131557135
|100800|||Hawle Armaturen AG||Hawlestraße 1||CH|8370|Sirnach|C|||
|101135|||MATERBUD P.U.P.|MIECZYSLAW PIETRZYK|WIELOPOLE 7||PL|80-556|G D A N S K|C|0048/602/746 179|0048552770200|PL9571077437
|101265|||OSSAM AG||North Industrial Zone||BG|5500|Lovech|C|00359601178||BG110001541
|103977|||S.C. HAWLE S.R.L.||Episcop Augustin Pacha St. 1||RO|300055|Timisoara,Timis County|C|356/800668|7672725769248|RO13280573
|103984|||Hawle d.o.o.||Josipa Bukovcana 3||HR|48000|Koprivnica|C|5/48636090|48647093|HR20244563126
|103993|||UAB Industek||S.Dariaus ir S.Gireno g. 177||LT|02189|Vilnius|C|685/62264|52700227|LT115971414
|105072|||Testkreditor CZA||Ulica testowa 32||PL|10-000|Krakow|C|||
|107001|||Sądeckie Wodociągi Sp. z o.o.||ul. Wincentego Pola 22||PL|33-300|NOWY SĄCZ|C|018/443-86-43||
|107002|||AQUANET S.A.||ul. Dolna Wilda 126||PL|61-492|POZNAŃ|C|835-92-41||
|107003|||MZK Kostrzyn||ul.Kopernika 4a||PL|66-470|KOSTRZYN|C|||
|107004|||Przedsiębiorstwo Produkcyjno|"Usługowo Handlowe ""WEKTOR"""|Al. Piłsudskiego 28 nr 7||PL|09-407|PŁOCK|C|024/2688976||
|107005|||Wodociągi Miejskie Radom|Spółka z o.o.|ul. Filtrowa 4||PL|26-600|RADOM|C|||
|107006|||Miejskie Wodociągi|Spółka z o.o.|Pl.Piastowski 27 A||PL|89-600|CHOJNICE|C|052/3970001||
